,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,track_artist_tuple,Unnamed: 0,Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,Explicit Track,Unnamed: 29
0,0IGUXY4JbK18bu9oD4mPIm,(G)I-DLE,I NEVER DIE,TOMBOY,80,174386,False,0.755,0.87,1,-2.414,0,0.0936,0.00988,0.0,0.0917,0.645,124.032,4,k-pop,"('TOMBOY', '(G)I-DLE')",12,TOMBOY,I NEVER DIE,(G)I-DLE,2022-03-14,KRA392100080,1724,35.2,286016224.0,26565,10803270,67.0,496270574.0,4490255.0,43300.0,26703316.0,232860888.0,168900715.0,18.0,3005.0,,6.0,43550.0,30.0,645800.0,1252.0,,559921.0,0,
1,6Pgmqg15yVexuOgtzuxwoX,347aidan,Dancing in My Room,Dancing in My Room,74,180138,True,0.98,0.413,8,-11.052,0,0.101,0.671,7.95e-05,0.17,0.764,119.993,4,sad,"('Dancing in My Room', '347aidan')",40,Dancing in My Room,Dancing in My Room,347aidan,2020-10-26,USQX92004785,2976,25.5,335188091.0,86549,11975787,61.0,122687107.0,2529521.0,1154302.0,413677323.0,3434097182.0,1051743.0,54.0,5455.0,119.0,9.0,18086.0,,7989935.0,19258.0,,1709213.0,1,
2,27XMmSWSOXJ7eVb40tH93T,347aidan,TROUBLED MEMORIES!,MEMORIES!,76,137806,False,0.835,0.381,9,-6.121,1,0.342,0.757,4.59e-06,0.121,0.31,154.973,4,sad,"('MEMORIES!', '347aidan')",41,MEMORIES!,TROUBLED MEMORIES!,347aidan,2021-06-18,USQX92102219,4541,19.5,225962467.0,76523,6879843,62.0,25819662.0,466288.0,313258.0,38604985.0,421102345.0,9177732.0,10.0,248.0,,4.0,4650.0,,2228794.0,4470.0,,1627617.0,0,
3,2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,Youngblood (Deluxe),Youngblood,81,203417,False,0.596,0.854,7,-5.114,0,0.463,0.0169,0.0,0.124,0.152,120.274,4,dance,"('Youngblood', '5 Seconds of Summer')",46,Youngblood,Youngblood,5 Seconds of Summer,2018-12-04,GBUM71800366,811,53.9,1790579305.0,180069,75602805,76.0,792369989.0,7627895.0,226361.0,15100678.0,81167209.0,225749952.0,148.0,298540.0,164.0,33.0,444155.0,64.0,394705510.0,159091.0,,10854729.0,0,
4,26wLOs3ZuHJa2Ihhx6QIE6,5 Seconds of Summer,13 Reasons Why (Season 3),Teeth,79,204887,False,0.756,0.448,3,-2.993,0,0.0404,0.0508,3.87e-06,0.11,0.431,139.031,4,dance,"('Teeth', '5 Seconds of Summer')",47,Teeth,Teeth,5 Seconds of Summer,2019-08-21,USUG11902528,2315,29.7,683247723.0,103554,18582680,71.0,322965834.0,5220826.0,252245.0,60889240.0,561046941.0,21501456.0,62.0,27799.0,74.0,10.0,551258.0,19.0,56491309.0,60938.0,6558783.0,3637003.0,0,
5,1XdbvPWz4lhyRBMz9cBy8b,6ix9ine,TattleTales,GOOBA,71,132303,True,0.611,0.688,1,-5.688,1,0.341,0.0264,0.0,0.251,0.393,178.462,4,emo,"('GOOBA', '6ix9ine')",52,GOOBA,GOOBA,6ix9ine,2020-08-05,QZA742002191,780,54.8,472027271.0,97766,8876147,2.0,1012949756.0,14257151.0,2295814.0,448572991.0,4846286370.0,155050116.0,22.0,120.0,57.0,10.0,24148.0,3.0,11693239.0,76976.0,,2224515.0,1,
6,7ycWLEP1GsNjVvcjawXz3z,"A$AP Rocky,Skepta",TESTING,Praise The Lord (Da Shine) (feat. Skepta),82,205040,True,0.854,0.569,5,-8.151,0,0.106,0.0609,0.0816,0.1,0.294,80.015,4,hip-hop,"('Praise The Lord (Da Shine) (feat. Skepta)', 'A$AP Rocky,Skepta')",63,Praise The Lord (Da Shine) (feat. Skepta),TESTING,A$AP Rocky,2018-05-25,USRC11800930,916,50.5,1244981489.0,295646,48300175,78.0,847656575.0,6337444.0,106923.0,60624218.0,650317525.0,165012134.0,110.0,24.0,,60.0,282248.0,29.0,29244476.0,21682.0,,6227926.0,1,
7,3os91rpisb64LD1SWHHnvs,"Aaron Smith,Luvli",Dancin (Remixes) - EP2 (feat. Luvli),Dancin (feat. Luvli) - Linier Remix,43,298053,False,0.803,0.781,6,-7.419,0,0.0461,0.0312,0.114,0.0793,0.462,123.995,4,chicago-house,"('Dancin (feat. Luvli) - Linier Remix', 'Aaron Smith,Luvli')",67,Dancin (feat. Luvli) - Krono Remix,Dancin (Krono Remix),Aaron Smith,2014-07-11,QMLA71400326,1411,39.4,856908437.0,163911,32032973,71.0,937887038.0,8642499.0,588686.0,210711962.0,2116323580.0,104816466.0,73.0,12133.0,,68.0,607320.0,20.0,9617789.0,28638.0,89898276.0,20060916.0,0,
8,2YlshLEFCJFjEoOlpLpcyU,Adele,Set Fire to the Rain,Set Fire to the Rain,43,242973,False,0.603,0.67,2,-3.882,0,0.0249,0.00408,1.68e-06,0.112,0.446,107.993,4,british,"('Set Fire to the Rain', 'Adele')",73,Set Fire to the Rain,More Music 2011,Adele,2011-01-01,GBBKS1000348,1518,37.7,1595514674.0,186319,52679491,77.0,959699985.0,5310150.0,905837.0,343302209.0,3469644756.0,213561924.0,110.0,223542.0,190.0,50.0,528108.0,44.0,1036810838.0,541659.0,,16180523.0,0,
9,2ux2dwUgqfj1EKRp963HEW,Adele,Rolling in the Deep,Rolling in the Deep - Acapella,49,236777,False,0.736,0.142,7,-16.603,0,0.0385,0.771,0.0,0.0735,0.476,105.034,4,british,"('Rolling in the Deep - Acapella', 'Adele')",74,Rolling in the Deep - Acapella,Rolling In The Deep,Adele,2011-01-16,GBBKS1000427,2800,26.5,11170019.0,1580,217023,36.0,2522903197.0,13159087.0,,,,2055207182.0,,349469.0,,1.0,208.0,,,,,,0,
