,Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,Explicit Track
2,For the Last Time,For the Last Time,$uicideboy$,2017-05-09,QM8DG1703420,"4,585",19.4,305049963.0,65770.0,5103054.0,71.0,149247747.0,1397590.0,48370.0,20202000.0,143934379.0,53016.0,3.0,6.0,,2.0,14217.0,,20104066.0,13184.0,50633006.0,656337.0,1
3,"...And to Those I Love, Thanks for Sticking Around",STOP STARING AT THE SHADOWS,$uicideboy$,2020-02-14,QZAPK1900020,"1,709",35.3,675082623.0,167727.0,15198984.0,73.0,269460083.0,3292285.0,429682.0,52925469.0,318296586.0,5466526.0,14.0,9.0,,5.0,22406.0,,11746442.0,31117.0,,3195912.0,1
4,Avalon,Avalon,$uicideboy$,2021-05-21,QZAPK2000176,"3,723",22.2,204669341.0,54797.0,3940409.0,65.0,49001959.0,441894.0,17568.0,4312773.0,49284460.0,65798617.0,2.0,14.0,,,,,4218125.0,3630.0,21572723.0,288456.0,1
5,1000 Blunts,"Sing Me a Lullaby, My Sweet Temptation",$uicideboy$,2022-07-29,QZAPK2000271,"2,237",30.3,189588270.0,43837.0,2663499.0,72.0,87680985.0,700043.0,190.0,31952.0,432059.0,4870198.0,,2.0,,,,,6559431.0,3552.0,14217001.0,240381.0,1
6,Matte Black,"Sing Me a Lullaby, My Sweet Temptation",$uicideboy$,2022-07-29,QZAPK2000269,"3,938",21.5,162889846.0,45505.0,2568098.0,69.0,82186979.0,804789.0,16659.0,8712382.0,49371617.0,4329789.0,1.0,1319.0,22,1.0,53318.0,,6608498.0,3600.0,,351439.0,1
12,TOMBOY,I NEVER DIE,(G)I-DLE,2022-03-14,KRA392100080,"1,724",35.2,286016224.0,26565.0,10803270.0,67.0,496270574.0,4490255.0,43300.0,26703316.0,232860888.0,168900715.0,18.0,3005.0,,6.0,43550.0,30.0,645800.0,1252.0,,559921.0,0
13,Nxde,I love,(G)I-DLE,2022-10-17,KRA392200038,"1,969",32.5,242708368.0,24028.0,7729486.0,66.0,306925934.0,3817854.0,1937.0,4217193.0,28580589.0,190154577.0,12.0,3655.0,,4.0,38259.0,6.0,537228.0,1013.0,,452824.0,0
19,No Wahala,No Wahala,1da Banton,2021-02-07,QZHZ52129395,"2,685",27.2,154010050.0,66808.0,4409868.0,63.0,234249323.0,1315242.0,417782.0,60004357.0,729439284.0,35766547.0,38.0,8575.0,129,13.0,538366.0,,8880471.0,1657.0,,2109482.0,0
20,Stay With Me,Candy Baby,1nonly,2020-07-30,TCAFE2016912,"2,693",27.1,398942581.0,99939.0,11061124.0,68.0,231553878.0,3275110.0,799566.0,111636857.0,1054813567.0,526856.0,3.0,5.0,,,,,3386783.0,2811.0,,1102075.0,1
21,Step Back!,Step Back!,1nonly,2022-02-09,USWB12203894,"2,860",26.1,166436749.0,48250.0,16940138.0,68.0,49886904.0,632581.0,58547.0,24932289.0,219657145.0,72266.0,9.0,3.0,,3.0,91280.0,,3588218.0,2028.0,7521020.0,850249.0,1
