,Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,Explicit Track,
2,For the Last Time,For the Last Time,$uicideboy$,2017-05-09,QM8DG1703420,4585,19.4,305049963,65770,5103054,71,149247747,1397590,48370,20202000,143934379,53016,3,6,,2,14217,,20104066,13184,50633006,656337,1,
3,"...And to Those I Love, Thanks for Sticking Around",STOP STARING AT THE SHADOWS,$uicideboy$,2020-02-14,QZAPK1900020,1709,35.3,675082623,167727,15198984,73,269460083,3292285,429682,52925469,318296586,5466526,14,9,,5,22406,,11746442,31117,,3195912,1,
4,Avalon,Avalon,$uicideboy$,2021-05-21,QZAPK2000176,3723,22.2,204669341,54797,3940409,65,49001959,441894,17568,4312773,49284460,65798617,2,14,,,,,4218125,3630,21572723,288456,1,
5,1000 Blunts,"Sing Me a Lullaby, My Sweet Temptation",$uicideboy$,2022-07-29,QZAPK2000271,2237,30.3,189588270,43837,2663499,72,87680985,700043,190,31952,432059,4870198,,2,,,,,6559431,3552,14217001,240381,1,
6,Matte Black,"Sing Me a Lullaby, My Sweet Temptation",$uicideboy$,2022-07-29,QZAPK2000269,3938,21.5,162889846,45505,2568098,69,82186979,804789,16659,8712382,49371617,4329789,1,1319,22,1,53318,,6608498,3600,,351439,1,
12,TOMBOY,I NEVER DIE,(G)I-DLE,2022-03-14,KRA392100080,1724,35.2,286016224,26565,10803270,67,496270574,4490255,43300,26703316,232860888,168900715,18,3005,,6,43550,30,645800,1252,,559921,0,
13,Nxde,I love,(G)I-DLE,2022-10-17,KRA392200038,1969,32.5,242708368,24028,7729486,66,306925934,3817854,1937,4217193,28580589,190154577,12,3655,,4,38259,6,537228,1013,,452824,0,
19,No Wahala,No Wahala,1da Banton,2021-02-07,QZHZ52129395,2685,27.2,154010050,66808,4409868,63,234249323,1315242,417782,60004357,729439284,35766547,38,8575,129,13,538366,,8880471,1657,,2109482,0,
20,Stay With Me,Candy Baby,1nonly,2020-07-30,TCAFE2016912,2693,27.1,398942581,99939,11061124,68,231553878,3275110,799566,111636857,1054813567,526856,3,5,,,,,3386783,2811,,1102075,1,
21,Step Back!,Step Back!,1nonly,2022-02-09,USWB12203894,2860,26.1,166436749,48250,16940138,68,49886904,632581,58547,24932289,219657145,72266,9,3,,3,91280,,3588218,2028,7521020,850249,1,
22,X (feat. Future),Savage Mode,21 Savage,2016-07-15,QZ45A1600041,1302,41.2,581220786,115125,20776088,65,365678540,2841760,80,4912,98210,1771108,94,1992,17,16,78389,19,267465925,32765,159665164,1739069,1,
23,Bank Account,Issa Album,21 Savage,2017-06-07,USSM11705546,1267,42,1150653471,195032,31101180,70,822892668,6651112,909432,91295431,812215684,49508355,112,61,35,45,159480,20,252331684,206623,,4014637,1,
24,a lot,i am > i was,21 Savage,2018-12-21,QZ45A1700126,872,51.7,949835159,219301,32815164,73,905118647,6526285,55114,16502363,131214658,180070256,70,94446,82,28,160500,30,123783971,95694,,3759769,1,
25,ball w/o you,i am > i was,21 Savage,2018-12-21,QZ45A1700093,2068,31.7,637055162,167409,20422800,77,138716504,1556410,10513,3916682,29554904,47981300,19,85,,12,83442,5,18315624,18105,41638558,,1,
26,Glock In My Lap,SAVAGE MODE II,21 Savage,2020-02-10,USSM12006061,1088,45.9,614603953,164722,24902576,78,164711656,1799801,45186,22453063,162296330,40458162,25,940,,18,196078,3,18427460,10054,34124605,2194666,1,
27,Runnin,SAVAGE MODE II,21 Savage,2020-02-10,USSM12005346,1556,37.2,653352641,181583,32640138,77,155865473,1851789,32163,9481274,81321613,44602530,47,2096,1,18,65242,16,36081043,11994,,1299108,1,
28,Rich Nigga Shit (feat. Young Thug),SAVAGE MODE II,21 Savage,2020-02-10,USSM12005348,3166,24.5,433309786,137820,15190372,73,35285134,512311,8562,8229618,59408058,,17,390,,11,25578,,8868498,5343,,,1,
37,Mood (feat. iann dior),Mood (feat. Iann Dior),24kGoldn,2020-07-24,USQX92003025,130,133,1867736006,302486,82611625,76,747126783,10795292,2467227,160756733,1768836179,2069527154,329,931316,1897,273,3821598,85,240562062,131540,40756476,10228436,1,
40,Dancing in My Room,Dancing in My Room,347aidan,2020-10-26,USQX92004785,2976,25.5,335188091,86549,11975787,61,122687107,2529521,1154302,413677323,3434097182,1051743,54,5455,119,9,18086,,7989935,19258,,1709213,1,
41,MEMORIES!,TROUBLED MEMORIES!,347aidan,2021-06-18,USQX92102219,4541,19.5,225962467,76523,6879843,62,25819662,466288,313258,38604985,421102345,9177732,10,248,,4,4650,,2228794,4470,,1627617,0,
42,Maybach (feat. Future),Free Dem Boyz,42 Dugg,2021-05-21,USUG12101418,3014,25.3,75717094,34136,5124318,55,216661579,1234087,24023,4773399,50774936,61994241,42,9269,,1,145,,82146544,17117,15809987,1103585,1,
46,Youngblood,Youngblood,5 Seconds of Summer,2018-12-04,GBUM71800366,811,53.9,1790579305,180069,75602805,76,792369989,7627895,226361,15100678,81167209,225749952,148,298540,164,33,444155,64,394705510,159091,,10854729,0,
47,Teeth,Teeth,5 Seconds of Summer,2019-08-21,USUG11902528,2315,29.7,683247723,103554,18582680,71,322965834,5220826,252245,60889240,561046941,21501456,62,27799,74,10,551258,19,56491309,60938,6558783,3637003,0,
48,Candy Shop,Candy Shop,50 Cent,2005-01-01,USIR10500072,3732,22.2,954807024,219091,69258950,75,1230174677,8016633,313458,56619292,950938614,379363177,76,44539,122,49,662226,25,336378328,387818,18800874,6300407,1,
49,Me and My Brother,Me and My Brother,5ive,2019-12-07,USQX91901641,4131,20.9,111894875,36302,1840798,59,113044166,1165613,1110500,57069383,505795992,,1,9,,,,,,,42037834,,1,
50,Hands up!,Hands up!,6arelyhuman,2022-10-12,QZTB32254226,3533,22.9,144555119,30542,5116146,5,26566933,480339,160061,60350179,381921701,,,,,,,,570698,2783,6690026,544824,1,
52,GOOBA,GOOBA,6ix9ine,2020-08-05,QZA742002191,780,54.8,472027271,97766,8876147,2,1012949756,14257151,2295814,448572991,4846286370,155050116,22,120,57,10,24148,3,11693239,76976,,2224515,1,
53,TROLLZ (with Nicki Minaj),TROLLZ (with Nicki Minaj),6ix9ine,2020-12-06,QZA742002508,3481,23.1,169376113,37282,5544584,2,485978356,7474199,481594,84039891,728033853,309404629,12,5773,,5,22966,,4875023,8123,,1192023,1,
55,Drowning (feat. Kodak Black),Drowning (feat. Kodak Black),A Boogie Wit da Hoodie,2017-10-03,USAT21700435,3722,22.2,921936314,40536,3970533,56,495192316,3867402,,,,13067096,71,,,5,3333,1,264188035,260091,,2690190,1,
56,Look Back At It,Look Back At It,A Boogie Wit da Hoodie,2018-07-12,USAT21812667,912,50.5,769061748,136145,21910460,73,233288549,2397744,202814,33604598,250645860,39277808,49,91002,329,17,25856,15,164836824,131521,95216986,6255853,1,
57,Swervin (feat. 6ix9ine),Hoodie SZN,A Boogie Wit da Hoodie,2018-12-21,USAT21812918,2660,27.3,815243082,140617,18381330,66,258514568,1970363,111271,87072918,649866119,8004499,43,3857,47,12,8457,12,94670283,67712,,1328950,1,
60,Say Something,Say Something,A Great Big World,2013-04-11,USSM11306713,3714,22.2,1064534331,116991,57390894,65,113298251,1108651,79873,38617874,339277915,2455495,102,943,120,71,421702,22,653380699,354730,,12937536,0,
61,Plain Jane,Plain Jane,A$AP Ferg,2017-04-08,USRC11701803,2752,26.8,733772721,146447,26777778,65,251008598,3281866,1638742,86025556,707393379,4519334,104,362,28,13,60539,15,98462005,71224,,7570376,1,
62,F**kin' Problems,F**kin' Problems,A$AP Rocky,2012-10-24,USRC11201220,3138,24.6,803286487,157238,36820510,70,376403733,2672337,10581,6181144,49465552,147612858,79,22371,,55,397602,24,514590007,672943,,,1,
63,Praise The Lord (Da Shine) (feat. Skepta),TESTING,A$AP Rocky,2018-05-25,USRC11800930,916,50.5,1244981489,295646,48300175,78,847656575,6337444,106923,60624218,650317525,165012134,110,24,,60,282248,29,29244476,21682,,6227926,1,
64,Sundress,Sundress,A$AP Rocky,2018-11-20,USRC11803252,4256,20.5,595930584,153078,26248264,80,47780609,656845,14062,4253139,37094174,162174,27,18,,45,131564,12,1764060,6670,,903716,1,
66,Night Away (Dance) (feat. Tion Wayne),Night Away (Dance) (feat. Tion Wayne),A1 x J1,2022-03-03,GBUM72200940,4253,20.5,148855365,68961,4738866,57,21320423,302697,54045,14221839,164949728,11866650,9,16726,,9,20327,6,,,,719356,1,
67,Dancin (feat. Luvli) - Krono Remix,Dancin (Krono Remix),Aaron Smith,2014-07-11,QMLA71400326,1411,39.4,856908437,163911,32032973,71,937887038,8642499,588686,210711962,2116323580,104816466,73,12133,,68,607320,20,9617789,28638,89898276,20060916,0,
68,Saawariya,Saawariya,Aastha Gill,2021-08-10,INS172104096,4153,20.8,28805237,1873,836098,45,153101388,1717781,2100000,11995964,212490319,,1,270,,,,1,,,,105909,0,
70,Do It To It,Do It To It,ACRAZE,2021-08-20,QZFPL2100100,324,85.2,805019111,238887,94531613,73,117678524,1540284,2600179,673283810,10369065597,116322631,192,217739,2822,105,1784254,40,51038784,9188,,9653748,0,
73,Set Fire to the Rain,More Music 2011,Adele,2011-01-01,GBBKS1000348,1518,37.7,1595514674,186319,52679491,77,959699985,5310150,905837,343302209,3469644756,213561924,110,223542,190,50,528108,44,1036810838,541659,,16180523,0,
74,Rolling in the Deep - Acapella,Rolling In The Deep,Adele,2011-01-16,GBBKS1000427,2800,26.5,11170019,1580,217023,36,2522903197,13159087,,,,2055207182,,349469,,1,208,,,,,,0,
75,Someone Like You,21' Sampler,Adele,2011-01-18,GBBKS1000351,1345,40.5,1925879064,211527,80288449,75,759564393,4034527,102404,46563916,401049702,188798506,249,56055,118,121,819281,90,1114782026,1198407,,14474611,0,
76,Skyfall - Full Length,Skyfall,Adele,2012-04-10,GBBKS1200164,4159,20.8,694094195,116469,65565928,78,619905722,4186117,235100,79381856,510915665,346275194,60,35051,,55,596330,22,82919152,284932,,8333219,0,
77,Hello,Hello,Adele,2015-10-23,GBBKS1500214,1186,43.6,1550553401,140637,42531792,68,347935820,3794833,209908,68479244,707793848,1006781,288,52436,119,166,496477,40,919585690,959806,,11659524,0,
