track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
4jPy3l0RUwlUI9T5XHBW2m,"24kGoldn,iann dior",El Dorado,Mood (feat. iann dior),83,140533,True,0.701,0.716,7,-3.671,0,0.0361,0.174,0.0,0.324,0.732,91.007,4,pop
3JwxpSpGaXmGqLwWN6D6eC,"6ix9ine,Nicki Minaj",TattleTales,TROLLZ (with Nicki Minaj),64,202666,True,0.744,0.422,1,-8.946,1,0.294,0.0319,0.00011,0.11,0.493,180.006,4,emo
7z5G2LOdV8okZn4yWg3q5g,"A1 x J1,Tion Wayne",Night Away (Dance) (feat. Tion Wayne),Night Away (Dance) (feat. Tion Wayne),75,175774,True,0.706,0.552,5,-9.479,0,0.0833,0.235,0.0,0.144,0.835,142.037,4,chill
5cjVsWqIkBQC7acTRhL0RO,"Aastha Gill,Sachin Sanghvi,Jigar Saraiya,Divya Kumar",Stree,Kamariya,65,187982,False,0.825,0.666,4,-4.847,0,0.0554,0.143,2.81e-06,0.237,0.763,96.987,4,pop
2kQuhkFX7uSVepCD3h29g5,"Akon,Eminem",Konvicted,Smack That,81,212360,True,0.939,0.742,5,-5.171,0,0.0467,0.321,0.0,0.107,0.924,118.978,4,dance
09gysnJpfQ3ublBmJDfcEC,"Amaarae,Kali Uchis,Moliy",SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),79,204763,True,0.87,0.523,1,-8.052,0,0.0602,0.433,2.07e-05,0.113,0.319,110.02,4,alternative
5lYLBAH2uSvERWy8GAcBJz,"Amaarae,Kali Uchis,Moliy,xxtristanxo",SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy) [Slowed + Reverb],SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy) - Slowed + Reverb,57,138646,True,0.774,0.579,10,-6.2,0,0.0699,0.343,0.0,0.131,0.418,92.399,4,alternative
0biCSADTAblvLTLtJz4pXO,"Vishal-Shekhar,Arijit Singh,Jaideep Sahni",Befikre,Nashe Si Chadh Gayi,69,237875,False,0.799,0.784,4,-5.207,0,0.0519,0.11,2.84e-06,0.227,0.26,96.953,4,pop
5MhsZlmKJG6X5kTHkdwC4B,"AronChupa,Little Sis Nora",I'm an Albatraoz,I'm an Albatraoz,72,166848,True,0.883,0.817,0,-5.414,1,0.235,0.601,0.00449,0.11,0.595,128.078,4,swedish
2x0RZdkZcD8QRI53XT4GI5,"Avicii,Aloe Blacc",TIM,SOS (feat. Aloe Blacc),72,157202,False,0.802,0.645,5,-6.181,0,0.0715,0.272,0.0,0.119,0.376,100.001,4,edm
4OQFlJOSID2AzpmOcuDlJl,"B Praak,Nawazuddin Siddiqui,Sunanda Sharma",Baarish Ki Jaaye,Baarish Ki Jaaye,63,251428,False,0.524,0.765,3,-2.625,0,0.184,0.319,0.0,0.332,0.475,157.487,3,pop
