Unnamed: 0,Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,Explicit Track,Unnamed: 29
37,Mood (feat. iann dior),Mood (feat. Iann Dior),24kGoldn,2020-07-24,USQX92003025,130,133.0,1867736006.0,302486,82611625,76.0,747126783.0,10795292.0,2467227.0,160756733.0,1768836179.0,2069527154.0,329.0,931316.0,1897.0,273.0,3821598.0,85.0,240562062.0,131540.0,40756476.0,10228436.0,1,
53,TROLLZ (with Nicki Minaj),TROLLZ (with Nicki Minaj),6ix9ine,2020-12-06,QZA742002508,3481,23.1,169376113.0,37282,5544584,2.0,485978356.0,7474199.0,481594.0,84039891.0,728033853.0,309404629.0,12.0,5773.0,,5.0,22966.0,,4875023.0,8123.0,,1192023.0,1,
66,Night Away (Dance) (feat. Tion Wayne),Night Away (Dance) (feat. Tion Wayne),A1 x J1,2022-03-03,GBUM72200940,4253,20.5,148855365.0,68961,4738866,57.0,21320423.0,302697.0,54045.0,14221839.0,164949728.0,11866650.0,9.0,16726.0,,9.0,20327.0,6.0,,,,719356.0,1,
68,Saawariya,Saawariya,Aastha Gill,2021-08-10,INS172104096,4153,20.8,28805237.0,1873,836098,45.0,153101388.0,1717781.0,2100000.0,11995964.0,212490319.0,,1.0,270.0,,,,1.0,,,,105909.0,0,
101,Smack That - Dirty,Smack That (feat. Eminem),Akon,2006-01-01,USUM70609036,3422,23.4,1023825031.0,204464,51055833,80.0,1251716030.0,8866662.0,,279003.0,1957205.0,397519323.0,37.0,28439.0,,24.0,316904.0,25.0,256334581.0,398868.0,,5885853.0,1,
150,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),Amaarae,2021-09-16,US23A1540104,610,61.3,428189728.0,95507,22395876,67.0,84966187.0,868089.0,5406735.0,1021159104.0,11653604916.0,98142716.0,100.0,22558.0,122.0,24.0,101103.0,33.0,6960206.0,6180.0,,5024951.0,1,
150,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),Amaarae,2021-09-16,US23A1540104,610,61.3,428189728.0,95507,22395876,67.0,84966187.0,868089.0,5406735.0,1021159104.0,11653604916.0,98142716.0,100.0,22558.0,122.0,24.0,101103.0,33.0,6960206.0,6180.0,,5024951.0,1,
229,Nashe Si Chadh Gayi,November Top 10 Songs,Arijit Singh,2016-08-11,INY091600067,4591,19.4,145467020.0,14037,7387064,66.0,1118595159.0,3868828.0,11433.0,2534831.0,37757301.0,25150516.0,1.0,1200.0,,,,7.0,6817840.0,,,448292.0,0,
237,I'm an Albatraoz,Full Circle: The Live Anthology,AronChupa,2011-11-20,SEYOK1406001,3011,25.3,568692309.0,122845,20445148,66.0,1631093608.0,13001577.0,322088.0,36083677.0,431870913.0,191669152.0,27.0,13.0,,20.0,70235.0,,66426238.0,94346.0,235101.0,13205767.0,1,
272,SOS (feat. Aloe Blacc),SOS (feat. Aloe Blacc),Avicii,2019-10-04,SE5R71900201,3839,21.8,763658190.0,99429,20117915,66.0,155980021.0,1735488.0,179239.0,19576729.0,258338520.0,327849531.0,143.0,88421.0,187.0,163.0,847295.0,28.0,37623487.0,14921.0,,4054017.0,0,
